Foutcode;Omschrijving;Uitleg;;
BRS01 ;Afzender is niet bekend bij VECOZO;"De afzender (de AGB-code in combinatie met de 'rol') moet bekend zijn in het systeem van VECOZO. Het attribuut 'rol’ kan de waarde Instelling, Zorgverlener of Praktijk hebben. Als de AGB-code correct is, is er waarschijnlijk via uw software een verkeerde rol ingevuld, en klopt de combinatie AGB-code en Rol niet. Neem contact op met uw softwareleverancier; die weet waar u dit in uw softwarepakket kunt aanpassen.

Weet u niet welke rol bij de AGB-code hoort? In het verleden bent u als zorgaanbieder bij het toekennen van de AGB-code door Vektis geïnformeerd over de bijbehorende rol (relatietype). Mocht u niet meer over deze informatie beschikken, dan geeft onderstaande lijst inzicht in de rol die voor u geldt in combinatie met uw zorgsoort. Hoewel de informatie in deze tabel met grote zorgvuldigheid is vastgesteld, kunt u er geen rechten aan ontlenen. Het nummer van de zorgsoort betreft de eerste 2 cijfers van uw achtcijferige AGB-code.";;
BRS02;Indiener beschikt niet over de juiste rol om voor dit berichttype berichten in te dienen;Het gebruikte VECOZO-certificaat moet van de juiste autorisatie zijn voorzien. De autorisatie kan door de contactpersoon worden toegekend, maar alleen als de instantie de juiste juridische grondslag (Zvw, Wlz, Wmo en/of Jeugdwet) voor de betreffende dienst bezit.;;
BRS03;Indiener is niet gemachtigd om namens de afzender het bericht in te dienen;Als de indiener (de AGB-code/partij waaronder het gebruikte certificaat valt) en de afzender (de AGB-code die in het bericht zelf wordt genoemd) niet gelijk zijn, wordt gecontroleerd of de indiener namens de afzender het bericht mag indienen. Daarvoor heeft de afzender bij VECOZO dan een toestemmingsverklaring afgegeven aan de indiener. Als dat niet het geval is volgt deze melding. Een toestemmingsverklaring kan door de contactpersoon van de afzender worden aangevraagd.;;
BRS04;Geadresseerde partij is niet aangesloten bij VECOZO;De geadresseerde moet een contract hebben met VECOZO en aangesloten zijn. Ook dient de AGB-code, UZOVI-code of gemeentecode te bestaan en correct te zijn.;;
BRS05;Geadresseerde partij beschikt niet over de juiste rol om voor dit berichttype berichten te ontvangen;De geadresseerde instantie moet op het ontvangstmoment van het bericht bij VECOZO aangesloten zijn onder de juiste juridische grondslag (Zvw, Wlz, Wmo en/of Jeugdwet). De controle geldt uitsluitend voor instanties uit het zorgaanbieders-domein: praktijk, instelling en zorgverlener.;;
BRS06;Payload is groter dan toegestaan;De payload is het daadwerkelijke bestand dat wordt ingediend. De maximale grootte van de payload verschilt per dienst.;;
BRS12;Virus gedetecteerd in payload;Het ingediende bestand bevat een virus en is verwijderd.;;
BRS13;Berichtinhoud voldoet niet aan XSD;Het bericht voldoet niet aan de XSD (de opbouw en structuur) zoals deze is vastgesteld door Vektis of Zorginstituut Nederland / iStandaarden. Neem contact op met uw softwareleverancier.;;
BRS14;Payload bevat geen well-formed XML;Het bericht bevat geen of geen geldige XML-bestandsopmaak, of is niet volledig. Neem contact op met uw softwareleverancier.;;
BRS15;Geen geldig ZIP-bestand aangeleverd;Het bericht is niet aangeleverd in een geldig zip-formaat.;;
BRS16;ZIP-bestand bevat meer bestanden dan toegestaan;Een zip-bestand mag bij bepaalde diensten maar één bestand bevatten. Het is bij die diensten NIET mogelijk om meerdere bestanden tegelijk via een zip-bestand in te dienen. U kunt wel meerdere zip-bestanden (met daarin één bericht) tegelijk indienen.;;
BRS17;ZIP-bestand bevat wachtwoordbeveiliging;"Het zip-bestand is beveiligd met een wachtwoord. Dit is niet toegestaan; ons systeem kan deze bestanden niet inlezen.";;
BRS18;Bericht bevat persoonsgegevens die niet zijn toegestaan op deze omgeving;Op de testomgevingen zijn uitsluitend gewhiteliste (fictieve) persoonsgegevens toegestaan. Welke gegevens dat zijn wordt vermeld in de technische documentatie voor softwareleveranciers.;;
BRS19;Bestand in ZIP-bestand is groter dan toegestaan;Een bestand in het zip-bestand is groter dan de maximaal toegestane grootte die geldt voor de betreffende dienst. Probeer het bestand op te splitsen of kleiner te maken.;;
BRS20;Identificatie moet per berichtsoort uniek zijn voor de verzendende partij;De inhoud van het veld Identificatie en IdentificatieRetour dient uniek te zijn voor de betreffende AGB-code. Neem contact op met uw softwareleverancier.;;
BRS21;ZIP-bestand bevat minder bestanden dan toegestaan;Een zip-bestand mag niet leeg zijn, en moet minimaal één (en bij sommige diensten het voorgeschreven aantal) bestanden bevatten.;;
BRS28;Het bericht is afgekeurd op basis van XSLT-controles;Het bericht voldoet niet aan de XSLT (de controleregels) zoals deze zijn vastgesteld door Vektis of Zorginstituut Nederland / iStandaarden. Neem contact op met uw softwareleverancier.;;
BRS29 ;ZIP-bestand bevat mappenstructuur;Een zip-bestand mag geen mappen bevatten, alleen bestanden.;;
BRS33 ;Bericht kan niet afgeleverd worden;"Er is geen routeerregel ingesteld voor het bericht. Voor de bezorging van berichten bij een bepaalde UZOVI (nummer van een zorgverzekeraar of zorgkantoor) worden aan de kant van VECOZO routeerregels ingesteld. Dat is bij de geadresseerde UZOVI niet het geval. Controleer of u de juiste UZOVI heeft gebruikt; waarschijnlijk is deze niet of niet meer in gebruik voor de betreffende berichtenstroom. ";;
BRS114;TraceerID is niet uniek;Het gebruikte TraceerID is reeds gekoppeld aan een ander bericht. De inhoud van het veld TraceerID dient uniek te zijn voor de betreffende AGB-code. Neem contact op met uw softwareleverancier.;;
