Foutcode;Omschrijving;Organisatie;Informatie
IB001;Bericht voldoet niet aan XSD;IB/CAK/VWS;Deze foutcode wordt ook gebruikt door CAK en VWS, IB controleert niet op de Payload maar wel de Envelop. CAK en VWS controleren de Payload.
IB002;De verzendende organisatie is niet geautoriseerd om gebruik te maken van het GGK.;IB;Neem contact op met de servicedesk.
IB003;Het ontvangen bericht overschrijdt de maximaal toegestane bestandsgrootte van 25mb.;IB;Verdeel de berichten over meerdere bestanden/aanleveringen
IB004;De functie wordt niet ondersteund.;IB;Voorbeeld: er wordt een WMO399 verstuurd
IB005;Gebruikte gemeentecode is niet bekend bij het GGk, controlleer de Stuf envolop.;IB;Gemeente code is niet bekend bij het GGk.
IB006;Het zendende systeem is niet geautoriseerd voor de gevraagde combinatie van berichtcode, entiteittype en functie.;IB;
IB007;Combinatie functie en organisatie is niet toegestaan;IB;
IB008;Indienende partij beschikt niet over de juiste rol om voor dit berichttype berichten te ontvangen;VECOZO;AGB code beschikt niet over juiste rol en/of de juiste grondslag voor betreffende product
IB009;Indiener beschikt niet over een toestemmingsverklaring van de afzender om voor dit berichttype berichten in te dienen;VECOZO;
IB010;Geadresseerde partij is niet aangesloten bij VECOZO of AGB is incorrect;VECOZO;
IB011;Geadresseerde partij beschikt niet over de juiste rol om voor dit berichttype berichten te ontvangen;VECOZO;
IB012;Payload is groter dan toegestaan. Deze mag maximaal 25MB zijn;VECOZO;
IB013;Het bestand dat u heeft ingediend bevat een virus en is verwijderd;VECOZO;
IB014;Payload voldoet niet aan de XSD;VECOZO;Neem contact op met nu software leverancier + XSD Foutmelding
IB015;Bericht bevat persoonsgegevens die niet zijn toegestaan op deze omgeving;VECOZO;Deze wordt gebruikt alleen op de KTO
IB016;Het referentienummer is niet uniek en is al bekend bij ontvangende partij;VECOZO;Deze foutcode wordt ook gebruikt door CAK.(BRS114)
IB017;Applicatie gegevens niet of onjuist gevuld;VECOZO;
IB018;Applicatie gegevens niet of onjuist gevuld;VECOZO;
IB019;Declaratie-antwoord reeds ingediend;VECOZO;
IB020;Declaratie-antwoord reeds ingediend;VECOZO;
IB021;AlsAntwoordOp niet gevuld;VECOZO;
IB022;AlsAntwoordOp niet gevuld;VECOZO;
IB023;Functie is niet actief;IB;
IB901;Geen geldig ZIP-bestand aangeleverd;VECOZO;
IB902;ZIP-bestand bevat meer bestanden dan toegestaan;VECOZO;
IB903;ZIP-bestand bevat wachtwoordbeveiliging;VECOZO;
IB904;Bestand in ZIP-bestand is groter dan toegestaan. Zip bestand mag niet groter dan 25MB zijn;VECOZO;
IB905;ZIP-bestand bevat minder bestanden dan toegestaan. Zip bestand mag niet leeg zijn;VECOZO;
