Bericht,Berichtklasse,Berichtelement\Datatype,CDT-element\Datatype,CDT-element\Datatype,Sleutelelement,Codelijst,Regel,Regelcode,Retourcode
JW Retour,,,,,,,OP065: Een retourbericht bevat alleen informatie over clienten waarvan berichtklassen zijn afgekeurd,OP065,
JW Retour,,,,,,,OP090: Voor ieder ontvangen bericht wordt binnen drie werkdagen na ontvangst een retourbericht verzonden.,OP090,
JW Retour,,,,,,,OP090x2: Indien voor een ontvangen bericht geen retourbericht kan worden gemaakt moet de ontvangende partij dit buiten het berichtenverkeer om melden aan de verzendende partij.,OP090x2,
JW Retour,,,,,,,IV028: Hoe wordt een retourbericht opgesteld?,IV028,
JW Retour,,,,,,,IV032: Welke retourcode moet gevuld worden in het retourbericht?,IV032,
JW Retour,Header,IdentificatieRetour\LDT_IdentificatieBericht,,,,,RS017: Maximale lengte 12 posities,RS017,
JW Retour,Header,IdentificatieRetour\LDT_IdentificatieBericht,,,,,RS033: Geen lege elementen in XML.,RS033,
JW Retour,Header,DagtekeningRetour\LDT_Datum,,,,,RS032: Datum vullen zonder tijdzone.,RS032,
JW Retour,Header,XsltVersie,,,,,IV033: Hoe moet XsltVersie gevuld worden?,IV033,
JW Retour,Header,XsltVersie\LDT_Versie,,,,,"RS048: Vullen met een versienummer bestaande uit drie gehele getallen, gescheiden met punten.",RS048,
JW Retour,Header,XsdVersieRetour\CDT_XsdVersie,BerichtXsdVersie,,,,IV034: Hoe moet XsdVersie gevuld worden?,IV034,
JW Retour,Header,XsdVersieRetour\CDT_XsdVersie,BerichtXsdVersie\LDT_Versie,,,,"RS048: Vullen met een versienummer bestaande uit drie gehele getallen, gescheiden met punten.",RS048,
JW Retour,Header,XsdVersieRetour\CDT_XsdVersie,BasisschemaXsdVersie,,,,IV034: Hoe moet XsdVersie gevuld worden?,IV034,
JW Retour,Header,XsdVersieRetour\CDT_XsdVersie,BasisschemaXsdVersie\LDT_Versie,,,,"RS048: Vullen met een versienummer bestaande uit drie gehele getallen, gescheiden met punten.",RS048,
JW Retour,RetourCodes,RetourCode\LDT_RetourCode,,,,WJ001,RS011: Maximale lengte 4 posities,RS011,
JW301,,,,,,,OP001: Van een client wordt vastgelegd wie de gezagsdrager is.,OP001,
JW301,,,,,,,OP002: De gemeente stuurt in de toewijzing gegevens van de gezagsdrager van de client mee.,OP002,
JW301,,,,,,,"OP002x1: Indien een aanbieder in een Verzoek om toewijzing heeft aangegeven dat de gezagsdrager bekend is, hoeft in de daaropvolgende toewijzing de gezagsdrager niet meegegeven te worden.",OP002x1,
JW301,,,,,,,"OP002x2: Indien het gezag over een client bij de jeugdige zelf ligt, wordt deze niet nogmaals als relatie opgenomen in de toewijzing.",OP002x2,
JW301,,,,,,,"OP003:  Het gestandaardiseerd berichtenverkeer wordt niet gebruikt indien, naar oordeel van een (zorg)professional, de overdracht van clientgegevens ernstige risico's met zich meebrengt voor de veiligheid van de client.",OP003,
JW301,,,,,,,OP033x1: Een afgegeven toewijzing mag gewijzigd worden waarbij de wijziging met een nieuw bericht moet worden doorgegeven.,OP033x1,
JW301,,,,,,,"OP039: In het berichtenverkeer mogen ketenpartijen clientgegevens doorgeven zoals deze in de administratie van de betreffende ketenpartij voorkomen, mits deze gegevens geen onderdeel zijn van een logische sleutel.",OP039,
JW301,,,,,,,"OP043: Indien aan een client een PGB is toegekend is, mag op hetzelfde moment voor hetzelfde product geen toewijzing zijn afgegeven.",OP043,
JW301,,,,,,,"OP047: Als een bericht niet aan de geldende standaard voldoet, mag het bericht afgekeurd worden.",OP047,
JW301,,,,,,,OP071: Elke relatie krijgt een uniek nummer per gemeente per client.,OP071,
JW301,,,,,,,OP076: Van iedere contactpersoon (relatie) moet worden opgegeven in welke relatie deze tot de client staat.,OP076,
JW301,,,,,,,OP079: Het is verplicht om gebruik te maken van het BSN van de client in de onderlinge uitwisseling van gegevens.,OP079,
JW301,,,,,,,OP080: Aan het tijdstip waarop en de volgorde waarin berichten worden ontvangen en verwerkt kunnen ketenpartijen geen betekenis hechten.,OP080,
JW301,,,,,,,OP086: Ondersteuningsproducten met een inspannings- of outputgerichte uitvoering worden altijd door de gemeente toegewezen met een bericht.,OP086,
JW301,,,,,,,OP087: Een toewijzingsbericht bevat voor 1 client altijd alle toewijzingen voor 1 aanbieder die op of na de aanmaakdatum van het bericht geldig zijn plus alle toewijzingen die gewijzigd zijn ten opzichte van het voorgaande toewijzingsbericht.,OP087,
JW301,,,,,,,OP091: Van een client mogen aanvullende contactgegevens vastgelegd worden; er moet dan wel vastgelegd worden wat voor soort adres het betreft.,OP091,
JW301,,,,,,,OP095: Een bericht mag niet worden afgekeurd op basis van informatie waartoe de verzendende partij geen toegang heeft.,OP095,
JW301,,,,,,,"OP130: Van de relatie moet altijd een naam worden vastgelegd, aangevuld met een volledig adres en/of een telefoonnummer.",OP130,
JW301,,,,,,,OP179: De grootte van verzonden bestanden mag niet meer zijn dan 25 Mb.,OP179,
JW301,,,,,,,OP186: Het beeindigen van een toewijzing op een datum die in het verleden ligt kan alleen in overeenstemming met de betreffende aanbieder,OP186,
JW301,,,,,,,OP191: Het gebruik van ongestructureerde informatie dient tot een minimum beperkt te worden.,OP191,
JW301,,,,,,,OP192: Verzonden berichten moeten voldoen aan de technische eisen.,OP192,
JW301,,,,,,,OP252: Bij een (deels) onbekende geboortedatum moet aangegeven worden welk deel van de geboortedatum betrouwbaar is.,OP252,
JW301,,,,,,,OP254: In de iJw berichten worden AGB-codes gebruikt voor routering van de berichten en voor identificatie van de aanbieder.,OP254,
JW301,,,,,,,OP257: Bij een wijziging van de zorgvraag wordt voor het betreffende product een nieuwe toewijzing afgegeven.,OP257,
JW301,,,,,,,OP258: Bij een beeindiging van een toewijzing wordt de aanbieder hiervan op de hoogte gebracht met een toewijzingbericht.,OP258,
JW301,,,,,,,OP259: Het is niet toegestaan om een zorg- of ondersteuningsproduct gestapeld toe te wijzen,OP259,
